Year,Sector,Gas,Activity,Emission Factor,Unit
2018,AFOLU,CO2,16420,1.5,Head of Cattle / Hectares
2018,AFOLU,CH4,16420,0.04,Head of Cattle / Hectares
2018,AFOLU,N2O,16420,0.015,Head of Cattle / Hectares
2018,AFOLU,HFCs,16420,0.0001,Head of Cattle / Hectares
2018,AFOLU,PFCs,16420,1e-05,Head of Cattle / Hectares
2018,AFOLU,SF6,16420,1e-06,Head of Cattle / Hectares
2018,Waste,CO2,6993,2.0,Tonnes of Waste
2018,Waste,CH4,6993,0.045,Tonnes of Waste
2018,Waste,N2O,6993,0.012,Tonnes of Waste
2018,Waste,HFCs,6993,0.00025,Tonnes of Waste
2018,Waste,PFCs,6993,2.5e-05,Tonnes of Waste
2018,Waste,SF6,6993,2.5e-06,Tonnes of Waste
2019,Energy,CO2,52466,2.8,Terajoules (TJ)
2019,Energy,CH4,52466,0.035,Terajoules (TJ)
2019,Energy,N2O,52466,0.01,Terajoules (TJ)
2019,Energy,HFCs,52466,0.0003,Terajoules (TJ)
2019,Energy,PFCs,52466,3e-05,Terajoules (TJ)
2019,Energy,SF6,52466,3e-06,Terajoules (TJ)
2019,IPPU,CO2,24344,1.9,Tonnes of Product
2019,IPPU,CH4,24344,0.02,Tonnes of Product
2019,IPPU,N2O,24344,0.005,Tonnes of Product
2019,IPPU,HFCs,24344,0.0002,Tonnes of Product
2019,IPPU,PFCs,24344,2e-05,Tonnes of Product
2019,IPPU,SF6,24344,2e-06,Tonnes of Product
2019,AFOLU,CO2,10818,1.5,Head of Cattle / Hectares
2019,AFOLU,CH4,10818,0.04,Head of Cattle / Hectares
2019,AFOLU,N2O,10818,0.015,Head of Cattle / Hectares
2019,AFOLU,HFCs,10818,0.0001,Head of Cattle / Hectares
2019,AFOLU,PFCs,10818,1e-05,Head of Cattle / Hectares
2019,AFOLU,SF6,10818,1e-06,Head of Cattle / Hectares
2019,Waste,CO2,8957,2.0,Tonnes of Waste
2019,Waste,CH4,8957,0.045,Tonnes of Waste
2019,Waste,N2O,8957,0.012,Tonnes of Waste
2019,Waste,HFCs,8957,0.00025,Tonnes of Waste
2019,Waste,PFCs,8957,2.5e-05,Tonnes of Waste
2019,Waste,SF6,8957,2.5e-06,Tonnes of Waste
2020,Energy,CO2,40593,2.8,Terajoules (TJ)
2020,Energy,CH4,40593,0.035,Terajoules (TJ)
2020,Energy,N2O,40593,0.01,Terajoules (TJ)
2020,Energy,HFCs,40593,0.0003,Terajoules (TJ)
2020,Energy,PFCs,40593,3e-05,Terajoules (TJ)
2020,Energy,SF6,40593,3e-06,Terajoules (TJ)
2020,IPPU,CO2,25731,1.9,Tonnes of Product
2020,IPPU,CH4,25731,0.02,Tonnes of Product
2020,IPPU,N2O,25731,0.005,Tonnes of Product
2020,IPPU,HFCs,25731,0.0002,Tonnes of Product
2020,IPPU,PFCs,25731,2e-05,Tonnes of Product
2020,IPPU,SF6,25731,2e-06,Tonnes of Product
2020,AFOLU,CO2,22755,1.5,Head of Cattle / Hectares
2020,AFOLU,CH4,22755,0.04,Head of Cattle / Hectares
2020,AFOLU,N2O,22755,0.015,Head of Cattle / Hectares
2020,AFOLU,HFCs,22755,0.0001,Head of Cattle / Hectares
2020,AFOLU,PFCs,22755,1e-05,Head of Cattle / Hectares
2020,AFOLU,SF6,22755,1e-06,Head of Cattle / Hectares
2020,Waste,CO2,6179,2.0,Tonnes of Waste
2020,Waste,CH4,6179,0.045,Tonnes of Waste
2020,Waste,N2O,6179,0.012,Tonnes of Waste
2020,Waste,HFCs,6179,0.00025,Tonnes of Waste
2020,Waste,PFCs,6179,2.5e-05,Tonnes of Waste
2020,Waste,SF6,6179,2.5e-06,Tonnes of Waste
2021,Energy,CO2,44879,2.8,Terajoules (TJ)
2021,Energy,CH4,44879,0.035,Terajoules (TJ)
2021,Energy,N2O,44879,0.01,Terajoules (TJ)
2021,Energy,HFCs,44879,0.0003,Terajoules (TJ)
2021,Energy,PFCs,44879,3e-05,Terajoules (TJ)
2021,Energy,SF6,44879,3e-06,Terajoules (TJ)
2021,IPPU,CO2,32464,1.9,Tonnes of Product
2021,IPPU,CH4,32464,0.02,Tonnes of Product
2021,IPPU,N2O,32464,0.005,Tonnes of Product
2021,IPPU,HFCs,32464,0.0002,Tonnes of Product
2021,IPPU,PFCs,32464,2e-05,Tonnes of Product
2021,IPPU,SF6,32464,2e-06,Tonnes of Product
2021,AFOLU,CO2,12971,1.5,Head of Cattle / Hectares
2021,AFOLU,CH4,12971,0.04,Head of Cattle / Hectares
2021,AFOLU,N2O,12971,0.015,Head of Cattle / Hectares
2021,AFOLU,HFCs,12971,0.0001,Head of Cattle / Hectares
2021,AFOLU,PFCs,12971,1e-05,Head of Cattle / Hectares
2021,AFOLU,SF6,12971,1e-06,Head of Cattle / Hectares
2021,Waste,CO2,12070,2.0,Tonnes of Waste
2021,Waste,CH4,12070,0.045,Tonnes of Waste
2021,Waste,N2O,12070,0.012,Tonnes of Waste
2021,Waste,HFCs,12070,0.00025,Tonnes of Waste
2021,Waste,PFCs,12070,2.5e-05,Tonnes of Waste
2021,Waste,SF6,12070,2.5e-06,Tonnes of Waste
